,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Construction_Laborers,similar_Construction_Laborers,empl_Construction_Laborers,auto_Construction_Laborers
233,Private Detectives and Investigators,0.31,53530,28490,Private Detectives and Investigators,-0.292172613488,0.290837875,1.0,0.88
234,Film and Video Editors,0.31,82190,29880,Film and Video Editors,-0.538995011559,0.293924036,1.0,0.88
235,"Financial Specialists, All Other",0.33,76230,123270,"Financial Specialists, All Other",-0.502951593861,0.259260672,1.0,0.88
236,Detectives and Criminal Investigators,0.34,81490,104980,Detectives and Criminal Investigators,-0.535034973616,0.319111817,1.0,0.88
237,Surgical Technologists,0.34,46800,105720,Surgical Technologists,-0.190384615385,0.366549518,1.0,0.88
238,Radiation Therapists,0.34,84980,17450,Radiation Therapists,-0.55413038362,0.293879377,1.0,0.88
239,"Plumbers, Pipefitters, and Steamfitters",0.35,56030,411870,"Plumbers, Pipefitters, and Steamfitters",-0.32375513118,0.5556449,1.0,0.88
240,Flight Attendants,0.35,51620,113390,Flight Attendants,-0.265982177451,0.301878494,1.0,0.88
241,Diagnostic Medical Sonographers,0.35,71750,65790,Diagnostic Medical Sonographers,-0.471916376307,0.321127584,1.0,0.88
242,Bailiffs,0.36,45740,17880,Bailiffs,-0.171622212505,0.309992862,1.0,0.88
243,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0.36,53560,25180,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",-0.292569081404,0.325223238,1.0,0.88
244,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.36,54520,228430,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.30502567865,0.347500303,1.0,0.88
245,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.37,37600,19520,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.00771276595745,0.532327654,1.0,0.88
246,Cleaners of Vehicles and Equipment,0.37,24660,348770,Cleaners of Vehicles and Equipment,0.536496350365,0.472600785,1.0,0.88
247,Funeral Attendants,0.37,27110,35770,Funeral Attendants,0.39763924751,0.414569563,1.0,0.88
248,Helpers-Extraction Workers,0.37,37160,17660,Helpers-Extraction Workers,0.0196447793326,0.471114321,1.0,0.88
249,Actors,0.37,71313,48620,Actors,-0.468680324765,0.227818259,1.0,0.88
250,Mine Shuttle Car Operators,0.37,56370,1590,Mine Shuttle Car Operators,-0.327833954231,0.360156546,1.0,0.88
251,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.38,74540,23060,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.491682318218,0.403143969,1.0,0.88
252,Surveyors,0.38,63480,43340,Surveyors,-0.403119092628,0.356214092,1.0,0.88
253,Mechanical Engineering Technicians,0.38,57180,45510,Mechanical Engineering Technicians,-0.337355718783,0.398556335,1.0,0.88
254,"Packers and Packagers, Hand",0.38,24430,705660,"Packers and Packagers, Hand",0.550961932051,0.420311212,1.0,0.88
255,Interpreters and Translators,0.38,51260,51350,Interpreters and Translators,-0.260827155677,0.255591604,1.0,0.88
256,Home Health Aides,0.39,23600,814300,Home Health Aides,0.605508474576,0.358503368,1.0,0.88
257,Upholsterers,0.39,34640,32520,Upholsterers,0.0938221709007,0.444958547,1.0,0.88
258,Elevator Installers and Repairers,0.39,76860,22240,Elevator Installers and Repairers,-0.507025761124,0.372341937,1.0,0.88
259,Gaming Cage Workers,0.39,28120,18810,Gaming Cage Workers,0.347439544808,0.309179114,1.0,0.88
260,Audio-Visual and Multimedia Collections Specialists,0.39,50130,10300,Audio-Visual and Multimedia Collections Specialists,-0.244165170557,0.345311277,1.0,0.88
261,"Judges, Magistrate Judges, and Magistrates",0.4,115460,27210,"Judges, Magistrate Judges, and Magistrates",-0.671834401524,0.198692005,1.0,0.88
262,"Mobile Heavy Equipment Mechanics, Except Engines",0.4,50810,123570,"Mobile Heavy Equipment Mechanics, Except Engines",-0.254280653415,0.372423191,1.0,0.88
263,"Graders and Sorters, Agricultural Products",0.41,24280,38780,"Graders and Sorters, Agricultural Products",0.560543657331,0.345712084,1.0,0.88
264,Structural Metal Fabricators and Fitters,0.41,40000,77270,Structural Metal Fabricators and Fitters,-0.05275,0.601626682,1.0,0.88
265,Judicial Law Clerks,0.41,59840,13410,Judicial Law Clerks,-0.366811497326,0.194950001,1.0,0.88
266,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.41,56990,67390,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.335146516933,0.337944197,1.0,0.88
267,Forest and Conservation Technicians,0.42,38630,30090,Forest and Conservation Technicians,-0.0191560962982,0.430120178,1.0,0.88
268,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.42,50160,183620,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",-0.24461722488,0.364988844,1.0,0.88
269,"Locker Room, Coatroom, and Dressing Room Attendants",0.43,24390,18040,"Locker Room, Coatroom, and Dressing Room Attendants",0.553505535055,0.313270513,1.0,0.88
270,"Physical Scientists, All Other",0.43,98460,18960,"Physical Scientists, All Other",-0.615173674589,0.228385793,1.0,0.88
271,Economists,0.43,112860,19380,Economists,-0.664274322169,0.208241943,1.0,0.88
272,Historians,0.44,60990,2950,Historians,-0.378750614855,0.262786925,1.0,0.88
273,Medical Appliance Technicians,0.45,39880,14570,Medical Appliance Technicians,-0.0498996990973,0.43264045,1.0,0.88
274,"Court, Municipal, and License Clerks",0.46,39160,128620,"Court, Municipal, and License Clerks",-0.032431052094,0.296667943,1.0,0.88
275,"Compensation, Benefits, and Job Analysis Specialists",0.47,66490,79190,"Compensation, Benefits, and Job Analysis Specialists",-0.430139870657,0.274083812,1.0,0.88
276,Psychiatric Aides,0.47,28770,67410,Psychiatric Aides,0.316996871741,0.285372023,1.0,0.88
277,Medical and Clinical Laboratory Technicians,0.47,41700,160190,Medical and Clinical Laboratory Technicians,-0.0913669064748,0.331358668,1.0,0.88
278,Fire Inspectors and Investigators,0.48,61660,11910,Fire Inspectors and Investigators,-0.385501135258,0.3799587,1.0,0.88
279,Aerospace Engineering and Operations Technicians,0.48,71070,11970,Aerospace Engineering and Operations Technicians,-0.466863655551,0.330276997,1.0,0.88
280,Merchandise Displayers and Window Trimmers,0.48,30090,114690,Merchandise Displayers and Window Trimmers,0.259222333001,0.351934759,1.0,0.88
281,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.48,54580,6310,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.305789666545,0.486139611,1.0,0.88
282,Computer Programmers,0.48,85180,271200,Computer Programmers,-0.55517727166,0.209147992,1.0,0.88
283,Crossing Guards,0.49,29190,72900,Crossing Guards,0.298047276465,0.285624055,1.0,0.88
284,Agricultural Engineers,0.49,77330,1980,Agricultural Engineers,-0.510021983706,0.251402946,1.0,0.88
285,"Roof Bolters, Mining",0.49,58110,3930,"Roof Bolters, Mining",-0.347960764068,0.512509782,1.0,0.88
286,Telecommunications Line Installers and Repairers,0.49,54700,100080,Telecommunications Line Installers and Repairers,-0.30731261426,0.495581538,1.0,0.88
287,"Police, Fire, and Ambulance Dispatchers",0.49,41070,95170,"Police, Fire, and Ambulance Dispatchers",-0.0774287801315,0.260447313,1.0,0.88
288,"Loading Machine Operators, Underground Mining",0.5,51260,2550,"Loading Machine Operators, Underground Mining",-0.260827155677,0.597673892,1.0,0.88
289,Court Reporters,0.5,56940,17700,Court Reporters,-0.334562697576,0.236355883,1.0,0.88
290,Demonstrators and Product Promoters,0.51,30570,86500,Demonstrators and Product Promoters,0.239450441609,0.306222431,1.0,0.88
291,Dental Assistants,0.51,37890,327290,Dental Assistants,0.0,0.362071908,1.0,0.88
292,Shoe and Leather Workers and Repairers,0.52,26040,7780,Shoe and Leather Workers and Repairers,0.455069124424,0.40427439,1.0,0.88
293,Architectural and Civil Drafters,0.52,54290,96810,Architectural and Civil Drafters,-0.302081414625,0.369480641,1.0,0.88
294,"Rotary Drill Operators, Oil and Gas",0.53,57140,17400,"Rotary Drill Operators, Oil and Gas",-0.336891844592,0.499462216,1.0,0.88
295,Hazardous Materials Removal Workers,0.53,45500,44280,Hazardous Materials Removal Workers,-0.167252747253,0.607791327,1.0,0.88
296,Embalmers,0.54,42260,3710,Embalmers,-0.10340747752,0.401505084,1.0,0.88
297,Continuous Mining Machine Operators,0.54,52650,12030,Continuous Mining Machine Operators,-0.280341880342,0.541188238,1.0,0.88
298,Slot Supervisors,0.54,38300,7640,Slot Supervisors,-0.0107049608355,0.401803115,1.0,0.88
299,Massage Therapists,0.54,44480,95830,Massage Therapists,-0.14815647482,0.282199657,1.0,0.88
300,Advertising Sales Agents,0.54,63660,141100,Advertising Sales Agents,-0.404806786051,0.249371409,1.0,0.88
301,Automotive Glass Installers and Repairers,0.55,36140,18610,Automotive Glass Installers and Repairers,0.0484228002214,0.475204528,1.0,0.88
302,Commercial Pilots,0.55,86260,38980,Commercial Pilots,-0.560746580107,0.308415901,1.0,0.88
303,Customer Service Representatives,0.55,35170,2707040,Customer Service Representatives,0.0773386408871,0.264270664,0.33693628465,0.88
304,Audio and Video Equipment Technicians,0.55,47450,69670,Audio and Video Equipment Technicians,-0.201475237092,0.358426967,1.0,0.88
305,Teacher Assistants,0.56,27120,1263820,Teacher Assistants,0.397123893805,0.299570549,0.721700875125,0.88
306,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,48820,19550,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",-0.22388365424,0.405401352,1.0,0.88
307,Chemical Technicians,0.57,49770,65510,Chemical Technicians,-0.23869801085,0.27166547,1.0,0.88
308,"Helpers-Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.57,30640,54080,"Helpers-Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.236618798956,0.62283035,1.0,0.88
309,Cost Estimators,0.57,66620,214610,Cost Estimators,-0.431251876313,0.296497218,1.0,0.88
310,Transit and Railroad Police,0.57,67850,4810,Transit and Railroad Police,-0.441562269713,0.291001579,1.0,0.88
311,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.57,48790,103070,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",-0.223406435745,0.412651689,1.0,0.88
312,Personal Financial Advisors,0.58,123100,201850,Personal Financial Advisors,-0.692201462226,0.196649278,1.0,0.88
313,Millwrights,0.59,53950,39670,Millwrights,-0.297683039852,0.408112036,1.0,0.88
314,Museum Technicians and Conservators,0.59,44780,10970,Museum Technicians and Conservators,-0.153863331845,0.353897853,1.0,0.88
315,Mine Cutting and Channeling Machine Operators,0.59,50670,5930,Mine Cutting and Channeling Machine Operators,-0.252220248668,0.390022026,1.0,0.88
316,"Transportation, Storage, and Distribution Managers",0.59,97630,113270,"Transportation, Storage, and Distribution Managers",-0.611902079279,0.290442396,1.0,0.88
317,Recreational Vehicle Service Technicians,0.59,38040,13520,Recreational Vehicle Service Technicians,-0.00394321766562,0.432770154,1.0,0.88
318,Automotive Service Technicians and Mechanics,0.59,41400,647380,Automotive Service Technicians and Mechanics,-0.0847826086957,0.397711478,1.0,0.88
319,Correctional Officers and Jailers,0.6,46750,431600,Correctional Officers and Jailers,-0.189518716578,0.291026775,1.0,0.88
320,"Camera Operators, Television, Video, and Motion Picture",0.6,63200,21710,"Camera Operators, Television, Video, and Motion Picture",-0.400474683544,0.366963411,1.0,0.88
321,Slaughterers and Meat Packers,0.6,27040,80780,Slaughterers and Meat Packers,0.40125739645,0.376128554,1.0,0.88
322,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.61,34200,11750,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.107894736842,0.402235444,1.0,0.88
323,Physical Therapist Aides,0.61,27890,50030,Physical Therapist Aides,0.358551452133,0.350315867,1.0,0.88
324,Costume Attendants,0.61,50470,6640,Costume Attendants,-0.249256984347,0.420188467,1.0,0.88
325,Market Research Analysts and Marketing Specialists,0.61,70620,558630,Market Research Analysts and Marketing Specialists,-0.463466440102,0.246968817,1.0,0.88
326,Reservation and Transportation Ticket Agents and Travel Clerks,0.61,38050,146350,Reservation and Transportation Ticket Agents and Travel Clerks,-0.0042049934297,0.282254187,1.0,0.88
327,Water and Wastewater Treatment Plant and System Operators,0.61,47930,115840,Water and Wastewater Treatment Plant and System Operators,-0.209472146881,0.470054545,1.0,0.88
328,"Life, Physical, and Social Science Technicians, All Other",0.61,49270,68540,"Life, Physical, and Social Science Technicians, All Other",-0.230972194033,0.381106051,1.0,0.88
329,Food Cooking Machine Operators and Tenders,0.61,30330,36520,Food Cooking Machine Operators and Tenders,0.249258160237,0.39334565,1.0,0.88
330,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.61,38380,46920,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-0.0127670661803,0.534538164,1.0,0.88
331,Motorboat Operators,0.62,43340,3290,Motorboat Operators,-0.125749884633,0.42172198,1.0,0.88
332,Tapers,0.62,53790,18480,Tapers,-0.295593976576,0.435977359,1.0,0.88
333,Pipelayers,0.62,42860,39620,Pipelayers,-0.115958936071,0.664088507,1.0,0.88
334,"Geoscientists, Except Hydrologists and Geographers",0.63,106390,30420,"Geoscientists, Except Hydrologists and Geographers",-0.643857505405,0.272319821,1.0,0.88
335,"Control and Valve Installers and Repairers, Except Mechanical Door",0.63,56180,45740,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.325560697757,0.544375441,1.0,0.88
336,First-Line Supervisors of Food Preparation and Serving Workers,0.63,34700,908550,First-Line Supervisors of Food Preparation and Serving Workers,0.0919308357349,0.289157335,1.0,0.88
337,Construction and Building Inspectors,0.63,61250,94960,Construction and Building Inspectors,-0.381387755102,0.409214515,1.0,0.88
338,"Cutters and Trimmers, Hand",0.64,29580,14250,"Cutters and Trimmers, Hand",0.28093306288,0.479196291,1.0,0.88
339,"Maintenance and Repair Workers, General",0.64,39360,1332480,"Maintenance and Repair Workers, General",-0.0373475609756,0.482024316,0.684513088377,0.88
340,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.64,95240,14540,"Administrative Law Judges, Adjudicators, and Hearing Officers",-0.602162956741,0.241180304,1.0,0.88
341,Stock Clerks and Order Fillers,0.64,26670,2016340,Stock Clerks and Order Fillers,0.420697412823,0.353361383,0.45235426565,0.88
342,Power Distributors and Dispatchers,0.64,81500,11380,Power Distributors and Dispatchers,-0.53509202454,0.450809828,1.0,0.88
343,"Insulation Workers, Mechanical",0.64,51100,27270,"Insulation Workers, Mechanical",-0.258512720157,0.617713994,1.0,0.88
344,Social Science Research Assistants,0.65,46820,30030,Social Science Research Assistants,-0.19073045707,0.251165166,1.0,0.88
345,Machinists,0.65,43220,391120,Machinists,-0.123322535863,0.445781651,1.0,0.88
346,Librarians,0.65,59870,129350,Librarians,-0.367128779021,0.241367346,1.0,0.88
347,Electronic Home Entertainment Equipment Installers and Repairers,0.65,39340,25550,Electronic Home Entertainment Equipment Installers and Repairers,-0.036858159634,0.368644365,1.0,0.88
348,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.65,48320,294730,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.215852649007,0.370134466,1.0,0.88
349,Hoist and Winch Operators,0.65,50020,2960,Hoist and Winch Operators,-0.2425029988,0.403630705,1.0,0.88
350,Pest Control Workers,0.66,35020,72830,Pest Control Workers,0.0819531696174,0.429131496,1.0,0.88
351,Helpers-Production Workers,0.66,26930,429890,Helpers-Production Workers,0.406981062013,0.471394038,1.0,0.88
352,Statistical Assistants,0.66,48300,10900,Statistical Assistants,-0.215527950311,0.282296608,1.0,0.88
353,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.66,27030,2161740,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.401775804661,0.430773918,0.421928631565,0.88
354,Motorboat Mechanics and Service Technicians,0.66,40860,20260,Motorboat Mechanics and Service Technicians,-0.0726872246696,0.438770033,1.0,0.88
355,"Paper Goods Machine Setters, Operators, and Tenders",0.67,38570,93100,"Paper Goods Machine Setters, Operators, and Tenders",-0.0176302826031,0.438419054,1.0,0.88
356,Foundry Mold and Coremakers,0.67,36030,12810,Foundry Mold and Coremakers,0.0516236469609,0.463717091,1.0,0.88
357,Atmospheric and Space Scientists,0.67,94840,9800,Atmospheric and Space Scientists,-0.600485027415,0.206133181,1.0,0.88
358,"Bus Drivers, Transit and Intercity",0.67,41780,169680,"Bus Drivers, Transit and Intercity",-0.093106749641,0.41299722,1.0,0.88
359,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.67,22640,145100,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.673586572438,0.370266352,1.0,0.88
360,Industrial Machinery Mechanics,0.67,51890,334490,Industrial Machinery Mechanics,-0.26980150318,0.39810063,1.0,0.88
361,Postal Service Mail Carriers,0.68,50610,328950,Postal Service Mail Carriers,-0.251333728512,0.363100689,1.0,0.88
362,"Roustabouts, Oil and Gas",0.68,40480,51290,"Roustabouts, Oil and Gas",-0.0639822134387,0.591752347,1.0,0.88
363,Boilermakers,0.68,62200,16660,Boilermakers,-0.390836012862,0.490179175,1.0,0.88
364,Mechanical Drafters,0.68,57480,63630,Mechanical Drafters,-0.340814196242,0.307763762,1.0,0.88
365,Dental Hygienists,0.68,73440,204990,Dental Hygienists,-0.484068627451,0.287036937,1.0,0.88
366,Light Truck or Delivery Services Drivers,0.69,34790,858710,Light Truck or Delivery Services Drivers,0.0891060649612,0.447751779,1.0,0.88
367,Maids and Housekeeping Cleaners,0.69,23830,924640,Maids and Housekeeping Cleaners,0.590012589173,0.357123646,0.986437965046,0.88
368,"Painters, Transportation Equipment",0.69,46270,54860,"Painters, Transportation Equipment",-0.181110870975,0.419208899,1.0,0.88
369,"Eligibility Interviewers, Government Programs",0.7,43550,135940,"Eligibility Interviewers, Government Programs",-0.129965556831,0.262586864,1.0,0.88
370,Tire Repairers and Changers,0.7,27150,109350,Tire Repairers and Changers,0.395580110497,0.52564511,1.0,0.88
371,Food Batchmakers,0.7,30130,148540,Food Batchmakers,0.257550614006,0.423435668,1.0,0.88
372,Avionics Technicians,0.7,61390,17330,Avionics Technicians,-0.382798501385,0.332574197,1.0,0.88
373,Aircraft Mechanics and Service Technicians,0.71,61190,128570,Aircraft Mechanics and Service Technicians,-0.380781173394,0.341838146,1.0,0.88
374,Airfield Operations Specialists,0.71,52380,8760,Airfield Operations Specialists,-0.276632302405,0.402895827,1.0,0.88
375,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.71,67870,41630,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-0.441726830706,0.403237093,1.0,0.88
376,"Opticians, Dispensing",0.71,37860,75270,"Opticians, Dispensing",0.000792393026941,0.347193206,1.0,0.88
377,Laundry and Dry-Cleaning Workers,0.71,23210,207710,Laundry and Dry-Cleaning Workers,0.632485997415,0.483466487,1.0,0.88
378,Amusement and Recreation Attendants,0.72,22000,286740,Amusement and Recreation Attendants,0.722272727273,0.37291133,1.0,0.88
379,Pharmacy Aides,0.72,28420,36660,Pharmacy Aides,0.333216045039,0.335293046,1.0,0.88
380,Helpers-Roofers,0.72,28890,10190,Helpers-Roofers,0.311526479751,0.598409782,1.0,0.88
381,"Tank Car, Truck, and Ship Loaders",0.72,39590,10920,"Tank Car, Truck, and Ship Loaders",-0.0429401363981,0.411500144,1.0,0.88
382,Home Appliance Repairers,0.72,40390,33480,Home Appliance Repairers,-0.0618965090369,0.346967191,1.0,0.88
383,Carpenters,0.72,48340,676980,Carpenters,-0.216177079024,0.650569277,1.0,0.88
384,Public Address System and Other Announcers,0.72,42740,8020,Public Address System and Other Announcers,-0.113476836687,0.311684407,1.0,0.88
385,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.73,28380,21550,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.335095137421,0.407425709,1.0,0.88
386,Administrative Services Managers,0.73,98930,266280,Administrative Services Managers,-0.61700192055,0.304470816,1.0,0.88
387,Glaziers,0.73,47260,47140,Glaziers,-0.198264917478,0.492533541,1.0,0.88
388,"Coil Winders, Tapers, and Finishers",0.73,35340,14090,"Coil Winders, Tapers, and Finishers",0.072156196944,0.544975663,1.0,0.88
389,Bus and Truck Mechanics and Diesel Engine Specialists,0.73,46710,254280,Bus and Truck Mechanics and Diesel Engine Specialists,-0.188824662813,0.468819783,1.0,0.88
390,"Computer, Automated Teller, and Office Machine Repairers",0.74,39410,102170,"Computer, Automated Teller, and Office Machine Repairers",-0.0385688911444,0.305542992,1.0,0.88
391,Personal Care Aides,0.74,22710,1492250,Personal Care Aides,0.668428005284,0.353001163,0.611224660747,0.88
392,Broadcast Technicians,0.74,45430,30330,Broadcast Technicians,-0.165969623597,0.395956012,1.0,0.88
393,Helpers-Electricians,0.74,30980,71890,Helpers-Electricians,0.223047127179,0.525253934,1.0,0.88
394,Postmasters and Mail Superintendents,0.75,71980,14720,Postmasters and Mail Superintendents,-0.473603778827,0.268410422,1.0,0.88
395,Tile and Marble Setters,0.75,44770,36830,Tile and Marble Setters,-0.153674335493,0.505500763,1.0,0.88
396,"Painters, Construction and Maintenance",0.75,41510,217280,"Painters, Construction and Maintenance",-0.0872079017104,0.652489565,1.0,0.88
397,"Transportation Attendants, Except Flight Attendants",0.75,31080,18410,"Transportation Attendants, Except Flight Attendants",0.219111969112,0.373636442,1.0,0.88
398,Civil Engineering Technicians,0.75,52120,72150,Civil Engineering Technicians,-0.273023791251,0.375386265,1.0,0.88
399,Farm Equipment Mechanics and Service Technicians,0.75,39310,35110,Farm Equipment Mechanics and Service Technicians,-0.0361231238871,0.439960149,1.0,0.88
400,Archivists,0.76,54570,5760,Archivists,-0.305662451897,0.268490232,1.0,0.88
401,Chemical Equipment Operators and Tenders,0.76,50300,73840,Chemical Equipment Operators and Tenders,-0.246719681909,0.387199212,1.0,0.88
402,"Electric Motor, Power Tool, and Related Repairers",0.76,44720,17050,"Electric Motor, Power Tool, and Related Repairers",-0.152728085868,0.385155155,1.0,0.88
403,Fallers,0.76,42900,5370,Fallers,-0.116783216783,0.40669942,1.0,0.88
404,"Environmental Science and Protection Technicians, Including Health",0.77,47930,32950,"Environmental Science and Protection Technicians, Including Health",-0.209472146881,0.361107903,1.0,0.88
405,Locksmiths and Safe Repairers,0.77,42180,18640,Locksmiths and Safe Repairers,-0.101706970128,0.498955679,1.0,0.88
406,Tree Trimmers and Pruners,0.77,37310,40680,Tree Trimmers and Pruners,0.0155454301796,0.534593705,1.0,0.88
407,Bartenders,0.77,25580,603320,Bartenders,0.481235340109,0.355316556,1.0,0.88
408,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.77,67420,297600,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",-0.438000593296,0.272790037,1.0,0.88
409,Dishwashers,0.77,21260,506450,Dishwashers,0.782220131703,0.419909748,1.0,0.88
410,Medical Equipment Preparers,0.78,35960,52500,Medical Equipment Preparers,0.0536707452725,0.416613636,1.0,0.88
411,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.78,34210,192800,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.107570885706,0.374154508,1.0,0.88
412,Computer Operators,0.78,43880,46810,Computer Operators,-0.136508659982,0.314525093,1.0,0.88
413,Gas Plant Operators,0.78,67980,17350,Gas Plant Operators,-0.442630185349,0.447009395,1.0,0.88
414,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.79,49710,110770,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-0.23777911889,0.334337343,1.0,0.88
415,Heavy and Tractor-Trailer Truck Drivers,0.79,43590,1704520,Heavy and Tractor-Trailer Truck Drivers,-0.130763936683,0.498261041,0.535106657593,0.88
416,Shampooers,0.79,20960,15240,Shampooers,0.807729007634,0.314280601,1.0,0.88
417,Drywall and Ceiling Tile Installers,0.79,47400,93180,Drywall and Ceiling Tile Installers,-0.200632911392,0.642591408,1.0,0.88
418,"Helpers-Installation, Maintenance, and Repair Workers",0.79,29370,118720,"Helpers-Installation, Maintenance, and Repair Workers",0.290091930541,0.487127741,1.0,0.88
419,Motorcycle Mechanics,0.79,37040,16000,Motorcycle Mechanics,0.0229481641469,0.401043399,1.0,0.88
420,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.79,52530,42010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-0.278697886922,0.509457931,1.0,0.88
421,Logging Equipment Operators,0.79,38880,27250,Logging Equipment Operators,-0.025462962963,0.375990909,1.0,0.88
422,"Floor Layers, Except Carpet, Wood, and HardTiles",0.79,42370,10340,"Floor Layers, Except Carpet, Wood, and HardTiles",-0.105735189993,0.500606098,1.0,0.88
423,Barbers,0.8,29900,15900,Barbers,0.267224080268,0.355869755,1.0,0.88
424,"Derrick Operators, Oil and Gas",0.8,51140,11580,"Derrick Operators, Oil and Gas",-0.259092686742,0.488150358,1.0,0.88
425,"Cooks, Fast Food",0.81,20570,513200,"Cooks, Fast Food",0.842002916869,0.397565087,1.0,0.88
426,Word Processors and Typists,0.81,39970,67230,Word Processors and Typists,-0.052039029272,0.240388355,1.0,0.88
427,Electrical and Electronics Drafters,0.81,63390,26750,Electrical and Electronics Drafters,-0.40227165168,0.348582503,1.0,0.88
428,Electro-Mechanical Technicians,0.81,57860,13710,Electro-Mechanical Technicians,-0.345143449706,0.284213835,1.0,0.88
429,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.81,30590,17860,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.238640078457,0.403009525,1.0,0.88
430,"Property, Real Estate, and Community Association Managers",0.81,70290,180290,"Property, Real Estate, and Community Association Managers",-0.460947503201,0.313889963,1.0,0.88
431,Medical Secretaries,0.81,35060,556820,Medical Secretaries,0.0807187678266,0.277244303,1.0,0.88
432,"Pressers, Textile, Garment, and Related Materials",0.81,22270,45150,"Pressers, Textile, Garment, and Related Materials",0.701392007185,0.411296276,1.0,0.88
433,Engine and Other Machine Assemblers,0.82,43090,38150,Engine and Other Machine Assemblers,-0.120677651427,0.515603463,1.0,0.88
434,Security and Fire Alarm Systems Installers,0.82,45660,67700,Security and Fire Alarm Systems Installers,-0.170170827858,0.438092771,1.0,0.88
435,"Refractory Materials Repairers, Except Brickmasons",0.82,47000,1540,"Refractory Materials Repairers, Except Brickmasons",-0.193829787234,0.46402842,1.0,0.88
436,Nonfarm Animal Caretakers,0.82,24420,187360,Nonfarm Animal Caretakers,0.551597051597,0.375075411,1.0,0.88
437,Sheet Metal Workers,0.82,51080,134450,Sheet Metal Workers,-0.258222396241,0.531851551,1.0,0.88
438,Pile-Driver Operators,0.82,61740,3570,Pile-Driver Operators,-0.386297376093,0.635471961,1.0,0.88
439,Brickmasons and Blockmasons,0.82,53440,64370,Brickmasons and Blockmasons,-0.290980538922,0.672564656,1.0,0.88
440,Fishers and Related Fishing Workers,0.83,30740,520,Fishers and Related Fishing Workers,0.232595966168,0.482038986,1.0,0.88
441,Structural Iron and Steel Workers,0.83,56040,69440,Structural Iron and Steel Workers,-0.323875802998,0.53780114,1.0,0.88
442,"Railroad Brake, Signal, and Switch Operators",0.83,55320,19860,"Railroad Brake, Signal, and Switch Operators",-0.315075921909,0.449777393,1.0,0.88
443,Railroad Conductors and Yardmasters,0.83,58220,42880,Railroad Conductors and Yardmasters,-0.349192717279,0.390061074,1.0,0.88
444,"Cooks, Institution and Cafeteria",0.83,26370,409850,"Cooks, Institution and Cafeteria",0.436860068259,0.306390924,1.0,0.88
445,Sailors and Marine Oilers,0.83,46170,32530,Sailors and Marine Oilers,-0.179337231969,0.484858503,1.0,0.88
