,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Heavy_and_Tractor-Trailer_Truck_Drivers,similar_Heavy_and_Tractor-Trailer_Truck_Drivers,empl_Heavy_and_Tractor-Trailer_Truck_Drivers,auto_Heavy_and_Tractor-Trailer_Truck_Drivers
231,Zoologists and Wildlife Biologists,0.3,64890,17720,Zoologists and Wildlife Biologists,-0.328247803976,0.280371462,1.0,0.79
232,"Cooks, Private Household",0.3,42220,370,"Cooks, Private Household",0.0324490762672,0.367572418,1.0,0.79
233,Private Detectives and Investigators,0.31,53530,28490,Private Detectives and Investigators,-0.18569026714,0.325443184,1.0,0.79
234,Film and Video Editors,0.31,82190,29880,Film and Video Editors,-0.469643508943,0.281498007,1.0,0.79
235,"Financial Specialists, All Other",0.33,76230,123270,"Financial Specialists, All Other",-0.428177882723,0.253083905,1.0,0.79
236,Detectives and Criminal Investigators,0.34,81490,104980,Detectives and Criminal Investigators,-0.465087740827,0.342905712,1.0,0.79
237,Surgical Technologists,0.34,46800,105720,Surgical Technologists,-0.0685897435897,0.443568594,1.0,0.79
238,Radiation Therapists,0.34,84980,17450,Radiation Therapists,-0.48705577783,0.326457703,1.0,0.79
239,"Plumbers, Pipefitters, and Steamfitters",0.35,56030,411870,"Plumbers, Pipefitters, and Steamfitters",-0.222023915759,0.458958821,1.0,0.79
240,Flight Attendants,0.35,51620,113390,Flight Attendants,-0.155559860519,0.3549903,1.0,0.79
241,Diagnostic Medical Sonographers,0.35,71750,65790,Diagnostic Medical Sonographers,-0.392473867596,0.351984248,1.0,0.79
242,Bailiffs,0.36,45740,17880,Bailiffs,-0.0470048097945,0.330486917,1.0,0.79
243,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0.36,53560,25180,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",-0.186146377894,0.317770326,1.0,0.79
244,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.36,54520,228430,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.200476889215,0.425310757,1.0,0.79
245,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.37,37600,19520,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.159308510638,0.506316068,1.0,0.79
246,Cleaners of Vehicles and Equipment,0.37,24660,348770,Cleaners of Vehicles and Equipment,0.767639902676,0.494850604,1.0,0.79
247,Funeral Attendants,0.37,27110,35770,Funeral Attendants,0.607893766138,0.464326616,1.0,0.79
248,Helpers-Extraction Workers,0.37,37160,17660,Helpers-Extraction Workers,0.173035522067,0.559861157,1.0,0.79
249,Actors,0.37,71313,48620,Actors,-0.388750999117,0.198574779,1.0,0.79
250,Mine Shuttle Car Operators,0.37,56370,1590,Mine Shuttle Car Operators,-0.226716338478,0.403900414,1.0,0.79
251,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.38,74540,23060,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.415213308291,0.369614376,1.0,0.79
252,Surveyors,0.38,63480,43340,Surveyors,-0.313327032136,0.3004029,1.0,0.79
253,Mechanical Engineering Technicians,0.38,57180,45510,Mechanical Engineering Technicians,-0.237670514166,0.358715729,1.0,0.79
254,"Packers and Packagers, Hand",0.38,24430,705660,"Packers and Packagers, Hand",0.784281620958,0.388155598,1.0,0.79
255,Interpreters and Translators,0.38,51260,51350,Interpreters and Translators,-0.149629340616,0.236217424,1.0,0.79
256,Home Health Aides,0.39,23600,814300,Home Health Aides,0.847033898305,0.385642896,1.0,0.79
257,Upholsterers,0.39,34640,32520,Upholsterers,0.25837182448,0.443395449,1.0,0.79
258,Elevator Installers and Repairers,0.39,76860,22240,Elevator Installers and Repairers,-0.432864949258,0.359994101,1.0,0.79
259,Gaming Cage Workers,0.39,28120,18810,Gaming Cage Workers,0.550142247511,0.328433599,1.0,0.79
260,Audio-Visual and Multimedia Collections Specialists,0.39,50130,10300,Audio-Visual and Multimedia Collections Specialists,-0.130460801915,0.380437679,1.0,0.79
261,"Judges, Magistrate Judges, and Magistrates",0.4,115460,27210,"Judges, Magistrate Judges, and Magistrates",-0.622466655119,0.198784153,1.0,0.79
262,"Mobile Heavy Equipment Mechanics, Except Engines",0.4,50810,123570,"Mobile Heavy Equipment Mechanics, Except Engines",-0.142098012202,0.460160659,1.0,0.79
263,"Graders and Sorters, Agricultural Products",0.41,24280,38780,"Graders and Sorters, Agricultural Products",0.795304777595,0.301990875,1.0,0.79
264,Structural Metal Fabricators and Fitters,0.41,40000,77270,Structural Metal Fabricators and Fitters,0.08975,0.394089815,1.0,0.79
265,Judicial Law Clerks,0.41,59840,13410,Judicial Law Clerks,-0.271557486631,0.224531819,1.0,0.79
266,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.41,56990,67390,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.235128969995,0.331539451,1.0,0.79
267,Forest and Conservation Technicians,0.42,38630,30090,Forest and Conservation Technicians,0.128397618431,0.41078206,1.0,0.79
268,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.42,50160,183620,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",-0.130980861244,0.385978231,1.0,0.79
269,"Locker Room, Coatroom, and Dressing Room Attendants",0.43,24390,18040,"Locker Room, Coatroom, and Dressing Room Attendants",0.787207872079,0.314371381,1.0,0.79
270,"Physical Scientists, All Other",0.43,98460,18960,"Physical Scientists, All Other",-0.557282145034,0.227642089,1.0,0.79
271,Economists,0.43,112860,19380,Economists,-0.613769271664,0.197551639,1.0,0.79
272,Historians,0.44,60990,2950,Historians,-0.28529267093,0.233754229,1.0,0.79
273,Medical Appliance Technicians,0.45,39880,14570,Medical Appliance Technicians,0.0930290872618,0.393018992,1.0,0.79
274,"Court, Municipal, and License Clerks",0.46,39160,128620,"Court, Municipal, and License Clerks",0.113125638407,0.317433393,1.0,0.79
275,"Compensation, Benefits, and Job Analysis Specialists",0.47,66490,79190,"Compensation, Benefits, and Job Analysis Specialists",-0.344412693638,0.240897507,1.0,0.79
276,Psychiatric Aides,0.47,28770,67410,Psychiatric Aides,0.51511991658,0.324528149,1.0,0.79
277,Medical and Clinical Laboratory Technicians,0.47,41700,160190,Medical and Clinical Laboratory Technicians,0.0453237410072,0.376864081,1.0,0.79
278,Fire Inspectors and Investigators,0.48,61660,11910,Fire Inspectors and Investigators,-0.29305870905,0.324234295,1.0,0.79
279,Aerospace Engineering and Operations Technicians,0.48,71070,11970,Aerospace Engineering and Operations Technicians,-0.386661038413,0.328455899,1.0,0.79
280,Merchandise Displayers and Window Trimmers,0.48,30090,114690,Merchandise Displayers and Window Trimmers,0.448654037886,0.333218582,1.0,0.79
281,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.48,54580,6310,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.201355807988,0.489359398,1.0,0.79
282,Computer Programmers,0.48,85180,271200,Computer Programmers,-0.488260154966,0.23064616,1.0,0.79
283,Crossing Guards,0.49,29190,72900,Crossing Guards,0.49331963001,0.309801128,1.0,0.79
284,Agricultural Engineers,0.49,77330,1980,Agricultural Engineers,-0.436311909996,0.196085573,1.0,0.79
285,"Roof Bolters, Mining",0.49,58110,3930,"Roof Bolters, Mining",-0.249870934435,0.566161303,1.0,0.79
286,Telecommunications Line Installers and Repairers,0.49,54700,100080,Telecommunications Line Installers and Repairers,-0.20310786106,0.533043698,1.0,0.79
287,"Police, Fire, and Ambulance Dispatchers",0.49,41070,95170,"Police, Fire, and Ambulance Dispatchers",0.0613586559533,0.311808677,1.0,0.79
288,"Loading Machine Operators, Underground Mining",0.5,51260,2550,"Loading Machine Operators, Underground Mining",-0.149629340616,0.525876579,1.0,0.79
289,Court Reporters,0.5,56940,17700,Court Reporters,-0.234457323498,0.273774264,1.0,0.79
290,Demonstrators and Product Promoters,0.51,30570,86500,Demonstrators and Product Promoters,0.425907752699,0.362028785,1.0,0.79
291,Dental Assistants,0.51,37890,327290,Dental Assistants,0.150435471101,0.365846758,1.0,0.79
292,Shoe and Leather Workers and Repairers,0.52,26040,7780,Shoe and Leather Workers and Repairers,0.673963133641,0.384477892,1.0,0.79
293,Architectural and Civil Drafters,0.52,54290,96810,Architectural and Civil Drafters,-0.197089703444,0.285894842,1.0,0.79
294,"Rotary Drill Operators, Oil and Gas",0.53,57140,17400,"Rotary Drill Operators, Oil and Gas",-0.237136856843,0.520542347,1.0,0.79
295,Hazardous Materials Removal Workers,0.53,45500,44280,Hazardous Materials Removal Workers,-0.041978021978,0.56733566,1.0,0.79
296,Embalmers,0.54,42260,3710,Embalmers,0.0314718409844,0.344751338,1.0,0.79
297,Continuous Mining Machine Operators,0.54,52650,12030,Continuous Mining Machine Operators,-0.17207977208,0.551166976,1.0,0.79
298,Slot Supervisors,0.54,38300,7640,Slot Supervisors,0.138120104439,0.434474994,1.0,0.79
299,Massage Therapists,0.54,44480,95830,Massage Therapists,-0.0200089928058,0.283694884,1.0,0.79
300,Advertising Sales Agents,0.54,63660,141100,Advertising Sales Agents,-0.315268614515,0.286394185,1.0,0.79
301,Automotive Glass Installers and Repairers,0.55,36140,18610,Automotive Glass Installers and Repairers,0.206142778085,0.539327555,1.0,0.79
302,Commercial Pilots,0.55,86260,38980,Commercial Pilots,-0.494667284952,0.450745961,1.0,0.79
303,Customer Service Representatives,0.55,35170,2707040,Customer Service Representatives,0.239408586864,0.290165414,0.629661918553,0.79
304,Audio and Video Equipment Technicians,0.55,47450,69670,Audio and Video Equipment Technicians,-0.0813487881981,0.400490619,1.0,0.79
305,Teacher Assistants,0.56,27120,1263820,Teacher Assistants,0.607300884956,0.331035126,1.0,0.79
306,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,48820,19550,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",-0.107128226137,0.405291666,1.0,0.79
307,Chemical Technicians,0.57,49770,65510,Chemical Technicians,-0.124171187462,0.331682673,1.0,0.79
308,"Helpers-Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.57,30640,54080,"Helpers-Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.422650130548,0.43092595,1.0,0.79
309,Cost Estimators,0.57,66620,214610,Cost Estimators,-0.345691984389,0.226587939,1.0,0.79
310,Transit and Railroad Police,0.57,67850,4810,Transit and Railroad Police,-0.357553426676,0.330561935,1.0,0.79
311,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.57,48790,103070,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",-0.106579217053,0.38588237,1.0,0.79
312,Personal Financial Advisors,0.58,123100,201850,Personal Financial Advisors,-0.645897644192,0.200973207,1.0,0.79
313,Millwrights,0.59,53950,39670,Millwrights,-0.19202965709,0.377685178,1.0,0.79
314,Museum Technicians and Conservators,0.59,44780,10970,Museum Technicians and Conservators,-0.0265743635552,0.308375087,1.0,0.79
315,Mine Cutting and Channeling Machine Operators,0.59,50670,5930,Mine Cutting and Channeling Machine Operators,-0.139727649497,0.478386499,1.0,0.79
316,"Transportation, Storage, and Distribution Managers",0.59,97630,113270,"Transportation, Storage, and Distribution Managers",-0.553518385742,0.306048078,1.0,0.79
317,Recreational Vehicle Service Technicians,0.59,38040,13520,Recreational Vehicle Service Technicians,0.145899053628,0.497160321,1.0,0.79
318,Automotive Service Technicians and Mechanics,0.59,41400,647380,Automotive Service Technicians and Mechanics,0.0528985507246,0.484168826,1.0,0.79
319,Correctional Officers and Jailers,0.6,46750,431600,Correctional Officers and Jailers,-0.0675935828877,0.329648404,1.0,0.79
320,"Camera Operators, Television, Video, and Motion Picture",0.6,63200,21710,"Camera Operators, Television, Video, and Motion Picture",-0.310284810127,0.41570409,1.0,0.79
321,Slaughterers and Meat Packers,0.6,27040,80780,Slaughterers and Meat Packers,0.612056213018,0.341003675,1.0,0.79
322,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.61,34200,11750,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.274561403509,0.446833594,1.0,0.79
323,Physical Therapist Aides,0.61,27890,50030,Physical Therapist Aides,0.562925779849,0.361752987,1.0,0.79
324,Costume Attendants,0.61,50470,6640,Costume Attendants,-0.136318605112,0.328641814,1.0,0.79
325,Market Research Analysts and Marketing Specialists,0.61,70620,558630,Market Research Analysts and Marketing Specialists,-0.382752761257,0.250743064,1.0,0.79
326,Reservation and Transportation Ticket Agents and Travel Clerks,0.61,38050,146350,Reservation and Transportation Ticket Agents and Travel Clerks,0.145597897503,0.3454635,1.0,0.79
327,Water and Wastewater Treatment Plant and System Operators,0.61,47930,115840,Water and Wastewater Treatment Plant and System Operators,-0.0905487168788,0.4216546,1.0,0.79
328,"Life, Physical, and Social Science Technicians, All Other",0.61,49270,68540,"Life, Physical, and Social Science Technicians, All Other",-0.115283133753,0.425958334,1.0,0.79
329,Food Cooking Machine Operators and Tenders,0.61,30330,36520,Food Cooking Machine Operators and Tenders,0.437190900099,0.451834172,1.0,0.79
330,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.61,38380,46920,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.135747785305,0.502589808,1.0,0.79
331,Motorboat Operators,0.62,43340,3290,Motorboat Operators,0.0057683433318,0.580129524,1.0,0.79
332,Tapers,0.62,53790,18480,Tapers,-0.189626324596,0.369935664,1.0,0.79
333,Pipelayers,0.62,42860,39620,Pipelayers,0.0170321978535,0.468639988,1.0,0.79
334,"Geoscientists, Except Hydrologists and Geographers",0.63,106390,30420,"Geoscientists, Except Hydrologists and Geographers",-0.590281041451,0.234258449,1.0,0.79
335,"Control and Valve Installers and Repairers, Except Mechanical Door",0.63,56180,45740,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.224101103596,0.487458081,1.0,0.79
336,First-Line Supervisors of Food Preparation and Serving Workers,0.63,34700,908550,First-Line Supervisors of Food Preparation and Serving Workers,0.256195965418,0.292797493,1.0,0.79
337,Construction and Building Inspectors,0.63,61250,94960,Construction and Building Inspectors,-0.288326530612,0.311732726,1.0,0.79
338,"Cutters and Trimmers, Hand",0.64,29580,14250,"Cutters and Trimmers, Hand",0.473630831643,0.371063781,1.0,0.79
339,"Maintenance and Repair Workers, General",0.64,39360,1332480,"Maintenance and Repair Workers, General",0.107469512195,0.517981973,1.0,0.79
340,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.64,95240,14540,"Administrative Law Judges, Adjudicators, and Hearing Officers",-0.542314153717,0.246166704,1.0,0.79
341,Stock Clerks and Order Fillers,0.64,26670,2016340,Stock Clerks and Order Fillers,0.634420697413,0.370821006,0.845353462214,0.79
342,Power Distributors and Dispatchers,0.64,81500,11380,Power Distributors and Dispatchers,-0.465153374233,0.496221099,1.0,0.79
343,"Insulation Workers, Mechanical",0.64,51100,27270,"Insulation Workers, Mechanical",-0.146966731898,0.466028424,1.0,0.79
344,Social Science Research Assistants,0.65,46820,30030,Social Science Research Assistants,-0.0689876121316,0.271324569,1.0,0.79
345,Machinists,0.65,43220,391120,Machinists,0.00856085145766,0.42974746,1.0,0.79
346,Librarians,0.65,59870,129350,Librarians,-0.271922498747,0.254495603,1.0,0.79
347,Electronic Home Entertainment Equipment Installers and Repairers,0.65,39340,25550,Electronic Home Entertainment Equipment Installers and Repairers,0.108032536858,0.400521294,1.0,0.79
348,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.65,48320,294730,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.0978890728477,0.367601143,1.0,0.79
349,Hoist and Winch Operators,0.65,50020,2960,Hoist and Winch Operators,-0.128548580568,0.501419869,1.0,0.79
350,Pest Control Workers,0.66,35020,72830,Pest Control Workers,0.244717304397,0.486902786,1.0,0.79
351,Helpers-Production Workers,0.66,26930,429890,Helpers-Production Workers,0.618640920906,0.466411394,1.0,0.79
352,Statistical Assistants,0.66,48300,10900,Statistical Assistants,-0.0975155279503,0.26682577,1.0,0.79
353,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.66,27030,2161740,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.612652608213,0.426558044,0.788494453542,0.79
354,Motorboat Mechanics and Service Technicians,0.66,40860,20260,Motorboat Mechanics and Service Technicians,0.0668135095448,0.488391649,1.0,0.79
355,"Paper Goods Machine Setters, Operators, and Tenders",0.67,38570,93100,"Paper Goods Machine Setters, Operators, and Tenders",0.130152968628,0.481452944,1.0,0.79
356,Foundry Mold and Coremakers,0.67,36030,12810,Foundry Mold and Coremakers,0.209825145712,0.46274526,1.0,0.79
357,Atmospheric and Space Scientists,0.67,94840,9800,Atmospheric and Space Scientists,-0.540383804302,0.210300008,1.0,0.79
358,"Bus Drivers, Transit and Intercity",0.67,41780,169680,"Bus Drivers, Transit and Intercity",0.0433221637147,0.640983167,1.0,0.79
359,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.67,22640,145100,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.92535335689,0.366048578,1.0,0.79
360,Industrial Machinery Mechanics,0.67,51890,334490,Industrial Machinery Mechanics,-0.159953748314,0.372405132,1.0,0.79
361,Postal Service Mail Carriers,0.68,50610,328950,Postal Service Mail Carriers,-0.138707765264,0.399439979,1.0,0.79
362,"Roustabouts, Oil and Gas",0.68,40480,51290,"Roustabouts, Oil and Gas",0.0768280632411,0.558951753,1.0,0.79
363,Boilermakers,0.68,62200,16660,Boilermakers,-0.299196141479,0.389086885,1.0,0.79
364,Mechanical Drafters,0.68,57480,63630,Mechanical Drafters,-0.241649269311,0.242467449,1.0,0.79
365,Dental Hygienists,0.68,73440,204990,Dental Hygienists,-0.406454248366,0.29308337,1.0,0.79
366,Light Truck or Delivery Services Drivers,0.69,34790,858710,Light Truck or Delivery Services Drivers,0.252946248922,0.652395893,1.0,0.79
367,Maids and Housekeeping Cleaners,0.69,23830,924640,Maids and Housekeeping Cleaners,0.829206882081,0.395715636,1.0,0.79
368,"Painters, Transportation Equipment",0.69,46270,54860,"Painters, Transportation Equipment",-0.0579208990707,0.474252946,1.0,0.79
369,"Eligibility Interviewers, Government Programs",0.7,43550,135940,"Eligibility Interviewers, Government Programs",0.000918484500574,0.261876966,1.0,0.79
370,Tire Repairers and Changers,0.7,27150,109350,Tire Repairers and Changers,0.605524861878,0.576354929,1.0,0.79
371,Food Batchmakers,0.7,30130,148540,Food Batchmakers,0.446730833057,0.420422856,1.0,0.79
372,Avionics Technicians,0.7,61390,17330,Avionics Technicians,-0.289949503176,0.379317756,1.0,0.79
373,Aircraft Mechanics and Service Technicians,0.71,61190,128570,Aircraft Mechanics and Service Technicians,-0.2876286975,0.413040449,1.0,0.79
374,Airfield Operations Specialists,0.71,52380,8760,Airfield Operations Specialists,-0.167812142039,0.425344994,1.0,0.79
375,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.71,67870,41630,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-0.35774274348,0.508433258,1.0,0.79
376,"Opticians, Dispensing",0.71,37860,75270,"Opticians, Dispensing",0.151347068146,0.337936445,1.0,0.79
377,Laundry and Dry-Cleaning Workers,0.71,23210,207710,Laundry and Dry-Cleaning Workers,0.878069797501,0.511738759,1.0,0.79
378,Amusement and Recreation Attendants,0.72,22000,286740,Amusement and Recreation Attendants,0.981363636364,0.389563713,1.0,0.79
379,Pharmacy Aides,0.72,28420,36660,Pharmacy Aides,0.533779028853,0.371837012,1.0,0.79
380,Helpers-Roofers,0.72,28890,10190,Helpers-Roofers,0.508826583593,0.474281293,1.0,0.79
381,"Tank Car, Truck, and Ship Loaders",0.72,39590,10920,"Tank Car, Truck, and Ship Loaders",0.101035615054,0.462059402,1.0,0.79
382,Home Appliance Repairers,0.72,40390,33480,Home Appliance Repairers,0.0792275315672,0.466644228,1.0,0.79
383,Carpenters,0.72,48340,676980,Carpenters,-0.0982623086471,0.442929239,1.0,0.79
384,Public Address System and Other Announcers,0.72,42740,8020,Public Address System and Other Announcers,0.0198876930276,0.331162983,1.0,0.79
385,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.73,28380,21550,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.535940803383,0.454156074,1.0,0.79
386,Administrative Services Managers,0.73,98930,266280,Administrative Services Managers,-0.559385424037,0.298676082,1.0,0.79
387,Glaziers,0.73,47260,47140,Glaziers,-0.0776555226407,0.38183602,1.0,0.79
388,"Coil Winders, Tapers, and Finishers",0.73,35340,14090,"Coil Winders, Tapers, and Finishers",0.233446519525,0.422137932,1.0,0.79
389,Bus and Truck Mechanics and Diesel Engine Specialists,0.73,46710,254280,Bus and Truck Mechanics and Diesel Engine Specialists,-0.0667951188182,0.567850028,1.0,0.79
390,"Computer, Automated Teller, and Office Machine Repairers",0.74,39410,102170,"Computer, Automated Teller, and Office Machine Repairers",0.106064450647,0.417979335,1.0,0.79
391,Personal Care Aides,0.74,22710,1492250,Personal Care Aides,0.919418758256,0.386026177,1.0,0.79
392,Broadcast Technicians,0.74,45430,30330,Broadcast Technicians,-0.0405018710103,0.400551972,1.0,0.79
393,Helpers-Electricians,0.74,30980,71890,Helpers-Electricians,0.407036797934,0.480096247,1.0,0.79
394,Postmasters and Mail Superintendents,0.75,71980,14720,Postmasters and Mail Superintendents,-0.39441511531,0.274113036,1.0,0.79
395,Tile and Marble Setters,0.75,44770,36830,Tile and Marble Setters,-0.0263569354478,0.472910526,1.0,0.79
396,"Painters, Construction and Maintenance",0.75,41510,217280,"Painters, Construction and Maintenance",0.0501084076126,0.451526381,1.0,0.79
397,"Transportation Attendants, Except Flight Attendants",0.75,31080,18410,"Transportation Attendants, Except Flight Attendants",0.40250965251,0.445045704,1.0,0.79
398,Civil Engineering Technicians,0.75,52120,72150,Civil Engineering Technicians,-0.163660782809,0.275985409,1.0,0.79
399,Farm Equipment Mechanics and Service Technicians,0.75,39310,35110,Farm Equipment Mechanics and Service Technicians,0.108878148054,0.491063005,1.0,0.79
400,Archivists,0.76,54570,5760,Archivists,-0.201209455745,0.264377019,1.0,0.79
401,Chemical Equipment Operators and Tenders,0.76,50300,73840,Chemical Equipment Operators and Tenders,-0.133399602386,0.390129425,1.0,0.79
402,"Electric Motor, Power Tool, and Related Repairers",0.76,44720,17050,"Electric Motor, Power Tool, and Related Repairers",-0.0252683363148,0.425550525,1.0,0.79
403,Fallers,0.76,42900,5370,Fallers,0.0160839160839,0.457671142,1.0,0.79
404,"Environmental Science and Protection Technicians, Including Health",0.77,47930,32950,"Environmental Science and Protection Technicians, Including Health",-0.0905487168788,0.322441139,1.0,0.79
405,Locksmiths and Safe Repairers,0.77,42180,18640,Locksmiths and Safe Repairers,0.0334281650071,0.534686304,1.0,0.79
406,Tree Trimmers and Pruners,0.77,37310,40680,Tree Trimmers and Pruners,0.168319485393,0.603327827,1.0,0.79
407,Bartenders,0.77,25580,603320,Bartenders,0.70406567631,0.359371057,1.0,0.79
408,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.77,67420,297600,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",-0.35345594779,0.246425139,1.0,0.79
409,Dishwashers,0.77,21260,506450,Dishwashers,1.05032925682,0.472854178,1.0,0.79
410,Medical Equipment Preparers,0.78,35960,52500,Medical Equipment Preparers,0.212180200222,0.483436962,1.0,0.79
411,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.78,34210,192800,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.274188833674,0.414428147,1.0,0.79
412,Computer Operators,0.78,43880,46810,Computer Operators,-0.00660893345488,0.428690893,1.0,0.79
413,Gas Plant Operators,0.78,67980,17350,Gas Plant Operators,-0.358781994704,0.534020438,1.0,0.79
414,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.79,49710,110770,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-0.123114061557,0.401484545,1.0,0.79
415,Heavy and Tractor-Trailer Truck Drivers,0.79,43590,1704520,Heavy and Tractor-Trailer Truck Drivers,0.0,0.0,1.0,0.79
416,Shampooers,0.79,20960,15240,Shampooers,1.07967557252,0.313444345,1.0,0.79
417,Drywall and Ceiling Tile Installers,0.79,47400,93180,Drywall and Ceiling Tile Installers,-0.0803797468354,0.424274693,1.0,0.79
418,"Helpers-Installation, Maintenance, and Repair Workers",0.79,29370,118720,"Helpers-Installation, Maintenance, and Repair Workers",0.484167517875,0.529812051,1.0,0.79
419,Motorcycle Mechanics,0.79,37040,16000,Motorcycle Mechanics,0.176835853132,0.457947868,1.0,0.79
420,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.79,52530,42010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-0.170188463735,0.498276804,1.0,0.79
421,Logging Equipment Operators,0.79,38880,27250,Logging Equipment Operators,0.121141975309,0.48224446,1.0,0.79
422,"Floor Layers, Except Carpet, Wood, and HardTiles",0.79,42370,10340,"Floor Layers, Except Carpet, Wood, and HardTiles",0.0287939579891,0.357901349,1.0,0.79
423,Barbers,0.8,29900,15900,Barbers,0.457859531773,0.370051796,1.0,0.79
424,"Derrick Operators, Oil and Gas",0.8,51140,11580,"Derrick Operators, Oil and Gas",-0.147633946031,0.590278163,1.0,0.79
425,"Cooks, Fast Food",0.81,20570,513200,"Cooks, Fast Food",1.11910549344,0.371423094,1.0,0.79
426,Word Processors and Typists,0.81,39970,67230,Word Processors and Typists,0.0905679259445,0.292214154,1.0,0.79
427,Electrical and Electronics Drafters,0.81,63390,26750,Electrical and Electronics Drafters,-0.31235210601,0.299554195,1.0,0.79
428,Electro-Mechanical Technicians,0.81,57860,13710,Electro-Mechanical Technicians,-0.246629796059,0.33882968,1.0,0.79
429,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.81,30590,17860,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.424975482184,0.416492883,1.0,0.79
430,"Property, Real Estate, and Community Association Managers",0.81,70290,180290,"Property, Real Estate, and Community Association Managers",-0.379854886897,0.263862502,1.0,0.79
431,Medical Secretaries,0.81,35060,556820,Medical Secretaries,0.243297204792,0.279136919,1.0,0.79
432,"Pressers, Textile, Garment, and Related Materials",0.81,22270,45150,"Pressers, Textile, Garment, and Related Materials",0.957341715312,0.428054697,1.0,0.79
433,Engine and Other Machine Assemblers,0.82,43090,38150,Engine and Other Machine Assemblers,0.0116036203295,0.496862477,1.0,0.79
434,Security and Fire Alarm Systems Installers,0.82,45660,67700,Security and Fire Alarm Systems Installers,-0.0453350854139,0.444510843,1.0,0.79
435,"Refractory Materials Repairers, Except Brickmasons",0.82,47000,1540,"Refractory Materials Repairers, Except Brickmasons",-0.0725531914894,0.487443056,1.0,0.79
436,Nonfarm Animal Caretakers,0.82,24420,187360,Nonfarm Animal Caretakers,0.785012285012,0.387430692,1.0,0.79
437,Sheet Metal Workers,0.82,51080,134450,Sheet Metal Workers,-0.146632732968,0.429352121,1.0,0.79
438,Pile-Driver Operators,0.82,61740,3570,Pile-Driver Operators,-0.29397473275,0.519327739,1.0,0.79
439,Brickmasons and Blockmasons,0.82,53440,64370,Brickmasons and Blockmasons,-0.184318862275,0.445894125,1.0,0.79
440,Fishers and Related Fishing Workers,0.83,30740,520,Fishers and Related Fishing Workers,0.418022121015,0.545986085,1.0,0.79
441,Structural Iron and Steel Workers,0.83,56040,69440,Structural Iron and Steel Workers,-0.222162740899,0.448812961,1.0,0.79
442,"Railroad Brake, Signal, and Switch Operators",0.83,55320,19860,"Railroad Brake, Signal, and Switch Operators",-0.212039045553,0.679639286,1.0,0.79
443,Railroad Conductors and Yardmasters,0.83,58220,42880,Railroad Conductors and Yardmasters,-0.251288217108,0.510038436,1.0,0.79
